id,family_id,parent_id,name,bookkeeping,level,latitude,longitude,iso639P3code,description,markup_description,child_family_count,child_language_count,child_dialect_count,country_ids
bugi1245,aust1307,bugi1243,Bugis,FALSE,family,,,,,,0,3,13,
bugl1243,chib1249,guay1266,Buglere,FALSE,language,857.695,-8.125.648,sab,,,0,0,2,PA
bugu1246,sino1245,khob1235,Bugun,FALSE,language,271.929.556,924.713.002,bgg,,,0,0,6,IN
buhi1243,aust1307,alba1269,Buhi,FALSE,dialect,13.17,123.5,ubl,,,0,0,0,PH
buhi1244,aust1307,sout2915,Buhid-Taubuid,FALSE,family,,,,,,1,3,0,
buhi1245,aust1307,buhi1244,Buhid,FALSE,language,12.6396,121.21,bku,,,0,0,0,PH
buhu1237,aust1307,suau1243,Buhutu,FALSE,language,-105.074,150.18,bxh,,,0,0,0,PG
buin1247,sout2948,sout2948,Buinic,FALSE,family,,,,,,1,3,1,
buin1248,sout2948,buin1247,Buin,FALSE,family,,,,,,0,2,0,
bujh1238,sino1245,chep1244,Bujhyal,FALSE,language,280.084,845.068,byh,,,0,0,0,NP
buka1257,aust1307,bida1240,Bukar-Sadung Bidayuh,FALSE,language,96.817,110.657,sdo,,,0,0,3,ID MY
buka1261,aust1307,buka1263,Bukat,FALSE,language,129.075,113.246,bvk,,,0,0,0,ID MY
buka1262,aust1307,nucl1750,Buka,FALSE,family,,,,,,3,7,25,
buka1263,aust1307,puna1280,Bukat-Ukit-Beketan-Lugat-Lisum,FALSE,family,,,,,,0,3,2,
bukh1238,indo1319,taji1250,Bukharic,FALSE,language,41.0,64.0,bhh,,,0,0,0,IL UZ
buki1247,aust1307,banj1241,Bukit Malay,FALSE,language,-275.049,115.64,bvu,,,0,0,0,ID
buki1248,aust1307,buka1263,Bukitan,FALSE,language,234.947,114.895,bkn,,,0,0,2,ID MY
buki1249,nucl1708,buki1250,Bukiyip,FALSE,language,-347.169,143.111,ape,,,0,0,2,PG
buki1250,nucl1708,mufi1239,Bukiyip-Abu,FALSE,family,,,,,,0,2,2,
buki1251,aust1307,kina1254,Bukidnon,FALSE,family,,,,,,0,2,0,
bukp1239,atla1278,nucl1801,Bukpic,FALSE,family,,,,,,0,3,2,
